Date,High,Low,Open,Close,Volume,Adj Close,Month,Quarter,Year
2005-03-11,90.56556702,88.66366577,90.31031036,88.98899078,16040543,88.98899078,3,Quarter 1,2005
2005-03-14,89.28929138,86.37136841,89.2542572,87.58258057,22270907,87.58258057,3,Quarter 1,2005
2005-03-15,90.09008789,87.19219208,87.73773956,89.39439392,20823356,89.39439392,3,Quarter 1,2005
2005-03-16,89.39439392,87.59259033,88.43843842,87.88788605,14198387,87.88788605,3,Quarter 1,2005
2005-03-17,89.90991211,87.98799133,88.65365601,89.73473358,16504679,89.73473358,3,Quarter 1,2005
2005-03-18,90.29029083,89.24424744,89.49449158,90.11010742,14165820,90.11010742,3,Quarter 1,2005
2005-03-21,91.17617798,88.7137146,89.72472382,90.53053284,14952433,90.53053284,3,Quarter 1,2005
2005-03-22,91.06105804,89.0140152,90.68067932,89.38938904,11252137,89.38938904,3,Quarter 1,2005
2005-03-23,90.21021271,89.07407379,89.07407379,89.57958221,9680310,89.57958221,3,Quarter 1,2005
2005-03-24,90.52052307,89.68968964,90.44043732,89.71471405,7402990,89.71471405,3,Quarter 1,2005
2005-03-28,92.49249268,90.56556702,90.93093109,90.80080414,17458524,90.80080414,3,Quarter 1,2005
2005-03-29,91.73173523,89.12412262,90.61561584,89.87487793,12933054,89.87487793,3,Quarter 1,2005
2005-03-30,90.81581879,89.88989258,90.41040802,90.31531525,12459728,90.31531525,3,Quarter 1,2005
2005-03-31,90.78578949,88.90891266,89.06406403,90.34534454,13523663,90.34534454,3,Quarter 1,2005
2005-04-01,91.56656647,90.08508301,90.97097015,90.11010742,12351636,90.11010742,4,Quarter 2,2005
2005-04-04,92.75275421,90.01000977,90.06506348,92.73773956,16136647,92.73773956,4,Quarter 2,2005
2005-04-05,95.22522736,93.87887573,93.95896149,94.37937927,17455927,94.37937927,4,Quarter 2,2005
2005-04-06,94.91992188,93.88388062,94.71471405,94.70470428,10494695,94.70470428,4,Quarter 2,2005
2005-04-07,97.40740967,94.41441345,94.48448181,96.97697449,19365016,96.97697449,4,Quarter 2,2005
2005-04-08,97.64765167,95.82082367,96.94194031,96.12112427,10222967,96.12112427,4,Quarter 2,2005
2005-04-11,97.49749756,96.2562561,96.64163971,96.7117157,10810179,96.7117157,4,Quarter 2,2005
2005-04-12,97.30730438,94.79979706,96.59659576,97.07707977,14624561,97.07707977,4,Quarter 2,2005
2005-04-13,97.25725555,94.95996094,96.83183289,96.56156158,13098488,96.56156158,4,Quarter 2,2005
2005-04-14,97.27727509,95.1451416,96.73173523,95.82082367,12293095,95.82082367,4,Quarter 2,2005
2005-04-15,95.26526642,92.42242432,95.1451416,92.59259033,23131645,92.59259033,4,Quarter 2,2005
2005-04-18,94.03403473,91.83683777,92.38238525,93.57858276,13087499,93.57858276,4,Quarter 2,2005
2005-04-19,96.09609222,94.10910797,94.759758,95.79579926,16843140,95.79579926,4,Quarter 2,2005
2005-04-20,100.3503494,98.05305481,99.38938904,99.14914703,30872097,99.14914703,4,Quarter 2,2005
2005-04-21,102.6026001,99.759758,100.3103104,102.2122116,35468296,102.2122116,4,Quarter 2,2005
2005-04-22,112.112114,107.237236,111.5615616,108.0130157,66343790,108.0130157,4,Quarter 2,2005
2005-04-25,112.4824829,108.868866,109.0190201,111.8768768,39640320,111.8768768,4,Quarter 2,2005
2005-04-26,111.1111145,109.2542572,110.2202225,109.4844818,34509456,109.4844818,4,Quarter 2,2005
2005-04-27,110.5355377,108.4784775,109.1041031,110,20509070,110,4,Quarter 2,2005
2005-04-28,111.1511536,108.9639664,109.8598633,109.8348312,17348234,109.8348312,4,Quarter 2,2005
2005-04-29,111.2362366,109.0190201,111.0660629,110.1101074,18322060,110.1101074,4,Quarter 2,2005
2005-05-02,111.9619598,110.2152176,111.1361389,111.2562561,19515265,111.2562561,5,Quarter 2,2005
2005-05-03,114.1891861,110.7707672,111.0360336,113.2082062,35524840,113.2082062,5,Quarter 2,2005
2005-05-04,115.0550537,113.6136169,113.7287292,114.3643646,24142833,114.3643646,5,Quarter 2,2005
2005-05-05,114.4244232,113.0530548,114.4244232,113.6036072,15004181,113.6036072,5,Quarter 2,2005
2005-05-06,114.7397385,113.3483505,114.3143158,114.1241226,13514272,114.1241226,5,Quarter 2,2005
2005-05-09,114.3643646,112.8278275,114.1141129,113.1231232,11062526,113.1231232,5,Quarter 2,2005
2005-05-10,114.0140152,112.4724731,112.847847,114.0140152,12678908,114.0140152,5,Quarter 2,2005
2005-05-11,116.1061096,114.0790787,114.5996017,115.7607574,22934642,115.7607574,5,Quarter 2,2005
2005-05-12,116.2312317,114.2142105,115.5205231,114.474472,17878504,114.474472,5,Quarter 2,2005
2005-05-13,115.6606598,113.7737732,114.7047043,114.7347336,14816169,114.7347336,5,Quarter 2,2005
2005-05-16,115.9259262,114.3993988,114.9549561,115.6406403,11351437,115.6406403,5,Quarter 2,2005
2005-05-17,116.8418427,115.2152176,115.3953934,116.6816788,15602182,116.6816788,5,Quarter 2,2005
2005-05-18,120.1051025,116.8768768,116.9219208,119.6996994,24599376,119.6996994,5,Quarter 2,2005
2005-05-19,120.7057037,119.2542572,120.2902908,119.7097092,19413567,119.7097092,5,Quarter 2,2005
2005-05-20,120.9559555,119.9449463,120.7257233,120.9259262,16310673,120.9259262,5,Quarter 2,2005
2005-05-23,129.179184,121.4764786,121.7016983,127.8528519,42733823,127.8528519,5,Quarter 2,2005
2005-05-24,132.8528595,126.8768768,128.6086121,128.1281281,58028114,128.1281281,5,Quarter 2,2005
2005-05-25,130.6206207,125.4404373,126.4914932,130.5355377,36079684,130.5355377,5,Quarter 2,2005
